"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
741,732,"634","EUROPET TRASPORTI SRL","Paglieta, Italia","CH","5.327.387","8.219.936","154.879","272.585","2,91","3,32","3,45","6,32",42.163039,14.497318
742,733,"738","FRESCO'S SHIP AGENCY SRL","Savona, Italia","SV","5.276.298","5.718.527","250.447","741.987","4,75","12,98","20,19","49,80",44.2334238,8.25257273702106
743,734,"764","TRIAL SRL","Sesto San Giovanni, Italia","MI","5.264.913","5.277.933","26.211","24.634","0,50","0,47","7,84","12,84",45.5357218,9.2376549
744,735,"741","INSPED SRL","Ornago, Italia","MI","5.239.550","5.688.228","171.194","218.058","3,27","3,83","14,47","13,53",45.5984036,9.4222142
745,736,"770","CAD LEO ANTELLI SRL","Milano, Italia","MI","5.193.383","5.129.283","2.619","73.445","0,05","1,43","0,06","1,68",45.4641943,9.1896346
746,737,"721","BASE INTERNAT. FREIGHT SRL","Concorezzo, Italia","MI","5.165.780","6.079.442","51.355","3.515","0,99","0,06","3,83","0,74",45.589675,9.335948
747,738,"754","TRASPORTI GD SRL","Sala Bolognese, Italia","BO","5.153.960","5.510.288","62.614","139.161","1,21","2,53","4,03","13,05",44.629603,11.2727476860188
748,739,"788","P & G INTERNATIONAL SRL","Leinì, Italia","TO","5.149.759","4.726.088","525.345","306.265","10,20","6,48","11,31","9,13",45.1845815,7.7132706
749,740,"743","T.S.L. INTERNATIONAL SRL","Inveruno, Italia","MI","5.106.904","5.680.960","77.075","90.244","1,51","1,59","12,98","17,46",45.5138305,8.8519543
750,741,"755","PICCATO SRL","Moncalieri, Italia","TO","5.106.132","5.510.096","438.724","266.454","8,59","4,84","13,60","9,56",45.0004614,7.6847543
751,742,"758","PILOGISTICA SRL","Vitulazio, Italia","CE","5.031.751","5.404.325","-285.185","-15.109","-5,67","-0,28","N.D.","-6,31",41.164116,14.216925
752,743,"763","S/D SIENA DISTRIBUZIONE SRL","Siena, Italia","SI","5.019.558","5.299.236","8.562","100.128","0,17","1,89","1,04","11,21",43.1672254,11.4671811613391
753,744,"751","T.M.L. TRASP. MAG. LOGISTICA","Como, Italia","CO","4.997.390","5.544.689","96.264","-186.529","1,93","-3,36","86,74","-1267,10",45.9394759,9.14941014540895
754,745,"774","SOC. TRASPORTI BERGAMO","Lallio, Italia","BG","4.990.597","5.026.377","299.369","220.186","6,00","4,38","19,52","17,84",45.66638,9.630053
755,746,"734","C.L.S.  SRL","Forlì, Italia","FC","4.990.189","5.768.737","33.161","21.367","0,66","0,37","18,13","14,27",44.2227278,12.041273
756,747,"785","MAG. GEN. TAGLIATE REGGIO EM.","Quattro Castella, Italia","RE","4.981.219","4.833.546","4.146.202","777.253","83,24","16,08","16,57","3,72",44.6356048,10.4724248
757,748,"796","LOG SERVICE WAREHOUSE SRL","Gricignano Di Aversa, Italia","CE","4.934.403","4.610.934","812.745","133.490","16,47","2,90","N.D.","N.D.",40.9800924,14.2337107
759,749,"731","CONTLINE SRL","Genova, Italia","GE","4.929.833","5.856.511","120.393","29.292","2,44","0,50","31,33","11,10",44.40726,8.9338624
760,750,"716","LOGTRAS SRL","Trento, Italia","TN","4.885.708","6.210.992","81.182","-179.349","1,66","-2,89","14,48","-37,41",46.1029536,11.1297424941688
761,751,"847","UNISPED SRL","Lecco, Italia","LC","4.822.769","3.876.736","184.678","158.148","3,83","4,08","75,75","72,18",45.9005485,9.41202482143963
762,752,"811","GRAZIOSI CONTAINERS SRL","Vignola, Italia","MO","4.786.360","4.385.903","443.594","413.668","9,27","9,43","23,79","25,52",44.4784141,11.0090928
763,753,"749","EMONS IMPEX SPA","Milano, Italia","MI","4.748.877","5.624.758","-376.571","-261.567","-7,93","-4,65","-63,97","-27,10",45.4641943,9.1896346
764,754,"668","CHI.MA SRL","Fidenza, Italia","PR","4.744.217","7.221.105","1.035.350","545.615","21,82","7,56","54,13","29,06",44.866522,10.0611939
765,755,"518","EKOL LOGISTICS SRL","Novara, Italia","NO","4.736.437","12.681.785","-615.493","-1.213.263","-12,99","-9,57","-239,46","N.D.",45.58425005,8.54599697089457
766,756,"717","SAVONA TERMINALS SPA","Savona, Italia","SV","4.703.474","6.206.139","-80.525","17.745","-1,71","0,29","-2,26","0,49",44.2334238,8.25257273702106
767,757,"727","HUGO TRUMPY SRL","Genova, Italia","GE","4.625.930","5.938.452","-111.197","70.550","-2,40","1,19","-2,49","2,42",44.40726,8.9338624
768,758,"771","MAG. GEN. VITTUONE ARLUNO","Vittuone, Italia","MI","4.619.921","5.115.146","9.533","19.793","0,21","0,39","1,23","2,59",45.487969,8.952442
769,759,"777","BATTAGLINO SBC SRL","Milano, Italia","MI","4.593.179","4.968.621","-142.951","72.327","-3,11","1,46","-7,95","4,48",45.4641943,9.1896346
