"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
1003,990,"1024","ISELLA SRL","Varese, Italia","VA","1.179.051","1.115.293","1.561","-35.483","0,13","-3,18","1,54","-35,55",45.8397203,8.75413383805657
1004,991,"985","S.INT.A. SRL","Livorno, Italia","LI","1.172.936","1.566.893","-103.937","-77.974","-8,86","-4,98","-24,70","-12,48",42.7902166,10.340278678735
1005,992,"1012","C.M.S. COMP. MARITT. SERV.","La Spezia, Italia","SP","1.172.808","1.277.034","75.500","197.088","6,44","15,43","9,81","22,04",44.23836595,9.69123263454754
1006,993,"1020","RECURFIX SRL","Roma, Italia","RM","1.145.607","1.161.548","8.613","13.081","0,75","1,13","0,47","0,71",41.8933203,12.4829321
1007,994,"1023","SITAF SRL","Pavia, Italia","PV","1.136.521","1.129.318","58.446","27.816","5,14","2,46","16,83","9,63",45.03685465,9.13782508282603
1008,995,"972","ANT BELLETTIERI E C SRL","Civitavecchia, Italia","RM","1.131.273","1.732.517","-40.961","-154.374","-3,62","-8,91","-141,12","-220,60",42.0937524,11.7922462
1009,996,"1030","DOCKS E.C.S. SRL","Ravenna, Italia","RA","1.122.357","1.056.402","25.114","40.527","2,24","3,84","1,58","2,59",44.3640607,12.0590094908639
1010,997,"N.D.","T-AIR MICOTRA SRL","Bellusco, Italia","MI","1.115.858","998.907","4.111","869","0,37","0,09","5,69","1,28",45.6187478,9.418633
1011,998,"1000","FERRARI ANTONIO E C. SRL","Trento, Italia","TN","1.099.953","1.411.606","-11.588","4.032","-1,05","0,29","-91,61","16,63",46.1029536,11.1297424941688
1012,999,"999","FORTUNE INTERNATIONAL","Milano, Italia","MI","1.085.737","1.414.537","14.620","-7.088","1,35","-0,50","11,26","-6,16",45.4641943,9.1896346
1013,1000,"1027","TRANSCARGO INTERNATIONAL","Milano, Italia","MI","1.071.742","1.085.690","173.471","202.474","16,19","18,65","3,81","4,62",45.4641943,9.1896346
1014,1001,"909","FRABEMAR SRL","Genova, Italia","GE","1.035.245","2.586.317","-90.487","-12.499","-8,74","-0,48","-2,56","-0,35",44.40726,8.9338624
1015,1002,"965","SHIPPING TEAM SRL","Turate, Italia","CO","1.026.978","1.860.146","25.395","84.897","2,47","4,56","30,38","61,43",45.6548024,9.0022871
1016,1003,"1004","SPEDILIV SRL","Livorno, Italia","LI","1.020.856","1.380.111","23.960","3.490","2,35","0,25","4,85","0,62",42.7902166,10.340278678735
1017,1004,"896","FRIGO GENOVA SRL","Genova, Italia","GE","1.007.959","2.945.281","-11.854","27.393","-1,18","0,93","-6,78","14,68",44.40726,8.9338624
1018,1005,"998","RG SHIPPING SRL","Milano, Italia","MI","1.002.086","1.432.749","19.098","429","1,91","0,03","58,94","3,22",45.4641943,9.1896346
1019,1006,"993","ETRA SRL","Paderno Dugnano, Italia","MI","1.001.255","1.482.541","-194.204","879","-19,40","0,06","-39,89","0,17",45.5718756,9.1691935
1020,1007,"1031","MEDISTAR SHIPPING AGENCY","Melilli, Italia","SR","1.000.746","1.020.943","94.772","26.223","9,47","2,57","37,77","N.D.",37.1782878,15.1266212
